PassengerId,Survived
892,0.268116
893,0.066667
894,0.367089
895,0.142857
896,1.000000
897,0.142857
898,0.268116
899,0.717949
900,0.268116
901,0.402174
902,0.026316
903,0.440678
904,0.763780
905,0.440678
906,0.763780
907,0.440678
908,0.367089
909,0.268116
910,0.473684
911,0.268116
912,0.763780
913,0.066667
914,0.440678
915,0.763780
916,0.763780
917,0.052632
918,0.763780
919,0.268116
920,0.440678
921,0.402174
922,0.440678
923,0.440678
924,0.402174
925,0.402174
926,0.763780
927,0.268116
928,0.142857
929,0.142857
930,0.142857
931,0.402174
932,1.000000
933,0.440678
934,0.268116
935,0.367089
936,0.763780
937,0.473684
938,0.440678
939,0.268116
940,0.763780
941,0.402174
942,0.763780
943,0.440678
944,1.000000
945,0.763780
946,0.440678
947,0.050000
948,0.026316
949,0.268116
950,0.402174
951,0.763780
952,0.026316
953,0.367089
954,0.268116
955,0.268116
956,0.763780
957,0.440678
958,1.000000
959,0.440678
960,0.440678
961,0.000000
962,0.268116
963,0.026316
964,0.473684
965,0.440678
966,0.763780
967,0.763780
968,0.142857
969,0.440678
970,0.367089
971,0.268116
972,0.402174
973,0.763780
974,0.440678
975,0.026316
976,0.367089
977,0.052632
978,1.000000
979,0.142857
980,0.268116
981,1.000000
982,0.052632
983,0.268116
984,0.717949
985,0.142857
986,0.440678
987,0.268116
988,0.763780
989,0.473684
990,0.268116
991,0.142857
992,0.763780
993,0.440678
994,0.268116
995,0.268116
996,0.142857
997,0.402174
998,0.268116
999,0.268116
1000,0.142857
1001,0.367089
1002,0.440678
1003,0.268116
1004,0.440678
1005,0.268116
1006,0.763780
1007,0.052632
1008,0.066667
1009,0.402174
1010,0.763780
1011,0.440678
1012,0.440678
1013,0.268116
1014,0.763780
1015,0.268116
1016,0.268116
1017,0.402174
1018,0.268116
1019,0.402174
1020,0.367089
1021,0.142857
1022,0.142857
1023,0.440678
1024,0.402174
1025,0.066667
1026,0.026316
1027,0.268116
1028,0.268116
1029,0.367089
1030,0.142857
1031,0.402174
1032,0.050000
1033,0.763780
1034,0.763780
1035,0.440678
1036,0.440678
1037,1.000000
1038,0.440678
1039,0.142857
